number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8230081717822018,2025-07-16 15:18:01.551577,2025-07-16 15:19:40.772856,0 days 00:01:39.221279,0.8556409845067519,0.6559573907678826,0.26607430746014205,0.003967363790633053,10,15,1,2384,2.703173258415324,1.3629500924023183,0.5138416371789605,COMPLETE
1,0.8202004940498778,2025-07-16 15:19:40.803263,2025-07-16 15:19:58.475422,0 days 00:00:17.672159,0.9749129790356865,0.7889503107009024,1.0298323107402243,0.006855668867012388,4,7,2,879,3.5699368335316426,5.565508299903601,0.5457112490903117,COMPLETE
2,0.8212581807388206,2025-07-16 15:19:58.500772,2025-07-16 15:20:17.733524,0 days 00:00:19.232752,0.7274286449981355,0.9742179646456431,0.7308649626683994,0.23055959948694882,10,9,3,2465,2.790780516384215,2.5101281971569365,0.8746561879983821,COMPLETE
3,0.8095279047611635,2025-07-16 15:20:17.756556,2025-07-16 15:21:01.260359,0 days 00:00:43.503803,0.750724184942035,0.8542851495052162,0.23251749451023396,0.06836393837112777,3,13,6,1241,2.1878639690185966,1.3134974626595122,0.6566192409093466,COMPLETE
4,0.8092232102192629,2025-07-16 15:21:01.285736,2025-07-16 15:21:12.622053,0 days 00:00:11.336317,0.9668084107938295,0.9775488690321108,0.7481220050469114,0.0006838930558666719,5,6,1,592,1.1509938359968246,2.738650282632712,0.7139113261642365,COMPLETE
5,0.8201612854525114,2025-07-16 15:21:12.645370,2025-07-16 15:21:21.598784,0 days 00:00:08.953414,0.744387889938132,0.6398335695626959,0.9530025204883129,0.07879353881836347,10,3,2,1167,2.730850966473449,3.189893584018362,0.8968425805353641,COMPLETE
6,0.8201400471607412,2025-07-16 15:21:21.624111,2025-07-16 15:21:49.866454,0 days 00:00:28.242343,0.9845300709516565,0.9714652558483756,2.71364976544715,0.005695032103433829,4,11,7,1703,1.2872877476219253,6.385978286147904,0.8031253169851507,COMPLETE
7,0.8228954986086998,2025-07-16 15:21:49.890826,2025-07-16 15:22:26.572891,0 days 00:00:36.682065,0.7394633483404784,0.7175928654927172,0.20302889379533418,0.023763167107495726,3,13,2,1902,5.162573086464056,9.90779199424634,0.9563616840744285,COMPLETE
8,0.8173117975953046,2025-07-16 15:22:26.596598,2025-07-16 15:22:40.002487,0 days 00:00:13.405889,0.5018000374459262,0.5988256914030374,2.6988229048991847,0.16620055409297946,8,5,8,2147,8.564573847999766,8.116609252570187,0.6826462399416457,COMPLETE
9,0.7974735126055641,2025-07-16 15:22:40.025242,2025-07-16 15:22:56.845698,0 days 00:00:16.820456,0.8346479349164828,0.5070419340431663,0.19422930888027137,0.00013201017995307689,7,3,3,1658,3.459016417279463,1.0603324406727157,0.517373756462019,COMPLETE
10,0.809621244277705,2025-07-16 15:22:56.870505,2025-07-16 15:23:35.406630,0 days 00:00:38.536125,0.857282922609794,0.5007087437504854,8.228962596380509,0.0009193923101939093,0,14,10,2490,1.8569417124946954,1.8644055380658349,0.6130949294251291,COMPLETE
11,0.8226286869548719,2025-07-16 15:23:35.432972,2025-07-16 15:24:31.453295,0 days 00:00:56.020323,0.6418727554066683,0.69531230837051,0.1177312607826751,0.015278897380811526,1,15,4,2037,5.3376132535051095,4.344309989023356,0.9472327023157502,COMPLETE
12,0.8219928136212484,2025-07-16 15:24:31.478372,2025-07-16 15:25:19.146598,0 days 00:00:47.668226,0.8550377556341238,0.7234921327487066,0.317146514033619,0.02723540093903165,7,12,1,2021,5.185584159988376,9.68479256572742,0.7915331108207245,COMPLETE
13,0.8170137896270676,2025-07-16 15:25:19.172134,2025-07-16 15:26:24.904505,0 days 00:01:05.732371,0.6393628957903863,0.8059457495227321,0.1019373630082747,0.0010370199380535165,2,10,5,2250,5.516260995998832,1.6501733440971824,0.9705316557478784,COMPLETE
14,0.8171643394360831,2025-07-16 15:26:24.929599,2025-07-16 15:27:10.064437,0 days 00:00:45.134838,0.8127825401893732,0.6276158447875456,0.4030434032187937,0.002769886866748683,6,15,1,1880,9.909164276350932,4.036846431695908,0.5930492670691898,COMPLETE
15,0.8220296212639718,2025-07-16 15:27:10.089973,2025-07-16 15:27:41.412480,0 days 00:00:31.322507,0.6498039136403999,0.8696983517650848,0.4827238179589692,0.019560478786532432,9,13,4,1409,6.888802013571805,1.9482208678930442,0.7631298795811104,COMPLETE
16,0.8225622709539768,2025-07-16 15:27:41.438179,2025-07-16 15:28:45.654485,0 days 00:01:04.216306,0.9114362322430056,0.6789671753495895,0.17281374108663541,0.0024345541439613474,2,9,3,2313,3.983631603590152,1.0204905119516148,0.861062101646683,COMPLETE
17,0.8094020955197481,2025-07-16 15:28:45.679618,2025-07-16 15:29:33.162609,0 days 00:00:47.482991,0.5675845690005474,0.5764679547660102,1.9864069469071253,0.00015494696211384838,5,13,2,1811,1.6868040410171368,3.845943838114539,0.9962668653079079,COMPLETE
18,0.820927090690746,2025-07-16 15:29:33.188342,2025-07-16 15:30:10.821743,0 days 00:00:37.633401,0.7832480970137041,0.762010696903302,0.28611173194555134,0.043232022633642876,3,15,5,1499,4.601478467143222,5.721703152129603,0.8304905406323277,COMPLETE
19,0.8227184169593122,2025-07-16 15:30:10.846710,2025-07-16 15:31:04.723625,0 days 00:00:53.876915,0.9062280505770854,0.5492915605539647,0.1614793682221486,0.010127351002295278,8,12,4,1942,6.879338232122367,1.326931834520056,0.7439688589657717,COMPLETE
20,0.8215878292393984,2025-07-16 15:31:04.752494,2025-07-16 15:32:10.710557,0 days 00:01:05.958063,0.6816534897689793,0.6637537748621264,0.5738434437712661,0.0022374938561429505,0,11,10,2276,2.2764387285043486,2.154610686097525,0.930758008969905,COMPLETE
21,0.8227535136287661,2025-07-16 15:32:10.736713,2025-07-16 15:33:05.308412,0 days 00:00:54.571699,0.9168419461353794,0.5549806806655357,0.16790345581801752,0.010284727377418396,9,12,4,1934,6.982274198363214,1.4226920475920894,0.7312763309982093,COMPLETE
22,0.8222414110244131,2025-07-16 15:33:05.335466,2025-07-16 15:33:53.873650,0 days 00:00:48.538184,0.8998147003603681,0.560782194554757,0.1384714030233515,0.01050137555812833,9,14,2,1706,7.051986130491163,1.4712062295026713,0.5928951053944911,COMPLETE
23,0.822600676740883,2025-07-16 15:33:53.902398,2025-07-16 15:35:09.477028,0 days 00:01:15.574630,0.7870171341014705,0.73089918648786,0.30196211681067603,0.004501928429654558,10,14,3,2145,4.447841767732188,2.347692569153472,0.6482430291907127,COMPLETE
24,0.8210702529747571,2025-07-16 15:35:09.501778,2025-07-16 15:35:55.523143,0 days 00:00:46.021365,0.9311681228884632,0.5999789314630918,0.2322350004037831,0.03247359491987369,9,11,1,1826,5.985957512605653,1.2377892977028073,0.7074624204749014,COMPLETE
25,0.8205768947704147,2025-07-16 15:35:55.548194,2025-07-16 15:36:31.318556,0 days 00:00:35.770362,0.712219497122844,0.6358821317379304,0.3618013588418144,0.11926812625826856,7,12,6,2336,8.612646564591477,1.7535333239618105,0.5550715424019005,COMPLETE
26,0.8132709960419952,2025-07-16 15:36:31.341877,2025-07-16 15:37:23.103498,0 days 00:00:51.761621,0.8729897025526712,0.7028211560474686,0.10673818015654392,0.00026984816556786193,8,8,4,2126,2.949176754816955,3.4495185183866877,0.8395973042696723,COMPLETE
27,0.814395947868942,2025-07-16 15:37:23.128556,2025-07-16 15:37:35.717364,0 days 00:00:12.588808,0.8051307637183688,0.5430322566316502,8.717138149594264,0.01334338823619874,6,14,2,1555,4.148171484081073,1.5775053555502698,0.924614237444209,COMPLETE
28,0.822138109937328,2025-07-16 15:37:35.740924,2025-07-16 15:38:30.275479,0 days 00:00:54.534555,0.9419254461958074,0.657793743182945,0.2312562021954635,0.004171199269682442,4,10,3,1974,6.279128412563703,2.820531845655177,0.7711995127224578,COMPLETE
29,0.81264529529174,2025-07-16 15:38:30.300759,2025-07-16 15:38:57.884201,0 days 00:00:27.583442,0.773283460528069,0.7885573961267421,1.5295416310599332,0.001450023735613902,3,13,2,1054,3.580396927808694,5.022029026603241,0.50892134208567,COMPLETE
30,0.8202971815284503,2025-07-16 15:38:57.910190,2025-07-16 15:39:19.701821,0 days 00:00:21.791631,0.8261625108101103,0.755831150157917,0.14934265285700007,0.007211940408954741,9,15,5,544,2.315573741704894,7.235732362279854,0.5528233839410055,COMPLETE
31,0.8220505928092589,2025-07-16 15:39:19.726736,2025-07-16 15:40:10.795416,0 days 00:00:51.068680,0.8967679625848729,0.5390262496524024,0.1741261512439073,0.006767494137956475,8,12,4,1915,7.534485594274509,1.296585223393276,0.704986663257931,COMPLETE
32,0.8224059683154064,2025-07-16 15:40:10.819209,2025-07-16 15:41:15.474187,0 days 00:01:04.654978,0.9518883376449011,0.6024462633831775,0.1495833438878628,0.010268488286888948,10,12,4,2415,8.36824697615975,1.1616303114388842,0.746111020395804,COMPLETE
33,0.8228840533879229,2025-07-16 15:41:15.500138,2025-07-16 15:41:48.941933,0 days 00:00:33.441795,0.8781388075616597,0.52609870744396,0.22006352557466755,0.022535798186078114,8,10,3,1374,5.036702198938473,1.4465617885179398,0.7284594749975236,COMPLETE
34,0.8208017306722585,2025-07-16 15:41:48.968973,2025-07-16 15:42:18.077950,0 days 00:00:29.108977,0.9953639859997798,0.5789758173214388,0.4855326609841892,0.05069965900316522,10,10,3,1339,3.6332308271142364,1.4953935353231445,0.6503453429990924,COMPLETE
35,0.8238557698628961,2025-07-16 15:42:18.102124,2025-07-16 15:42:37.660852,0 days 00:00:19.558728,0.8714147195235138,0.5328428201979956,0.23312002021584802,0.02050521512153465,6,8,1,941,4.832436631204471,1.439715773379291,0.9023025842584078,COMPLETE
36,0.8223146747336829,2025-07-16 15:42:37.684888,2025-07-16 15:42:49.101095,0 days 00:00:11.416207,0.7254279597519391,0.5186308581932791,0.7607704097759925,0.02405566898455614,6,7,1,823,3.1471770620728066,2.378943496844411,0.9021823471905769,COMPLETE
37,0.8226727281700535,2025-07-16 15:42:49.125024,2025-07-16 15:42:56.338620,0 days 00:00:07.213596,0.8369677524325623,0.8429727577549859,0.22965528164879015,0.0853579754742493,4,8,1,811,4.726986109794658,2.015530347680076,0.9999004399348559,COMPLETE
38,0.8231924172428107,2025-07-16 15:42:56.362528,2025-07-16 15:43:08.297472,0 days 00:00:11.934944,0.8677062014761995,0.6160389030866865,0.4146861158925438,0.053783309025073715,5,4,1,1045,2.5627435327660524,1.1505745697874399,0.8823879072261731,COMPLETE
39,0.821161672492833,2025-07-16 15:43:08.322391,2025-07-16 15:43:15.412744,0 days 00:00:07.090353,0.7581266728876612,0.6256720776451623,1.1372487685842931,0.2971577978262087,5,4,1,1006,2.628071496304029,1.1550273727691185,0.8828293073688598,COMPLETE
40,0.8231622446914985,2025-07-16 15:43:15.436280,2025-07-16 15:43:22.960528,0 days 00:00:07.524248,0.7064255972035509,0.6563541870056334,0.5904213661108741,0.05355913195516474,4,6,2,673,1.8530341417905685,2.9329788865876028,0.9550459803675111,COMPLETE
41,0.8229015206595784,2025-07-16 15:43:22.983953,2025-07-16 15:43:30.011370,0 days 00:00:07.027417,0.6865808415758364,0.7005735386961536,0.6267130579600856,0.059042493883870444,4,6,2,686,1.7708823530787328,2.946424366424691,0.9639394680628535,COMPLETE
42,0.8232888964631219,2025-07-16 15:43:30.034923,2025-07-16 15:43:36.495185,0 days 00:00:06.460262,0.6639103364543885,0.6606552631398664,0.697024740428265,0.16090543392433995,4,6,2,707,1.54591097684041,2.783267327869225,0.9083077605484189,COMPLETE
43,0.8224569019386253,2025-07-16 15:43:36.518013,2025-07-16 15:43:43.858247,0 days 00:00:07.340234,0.5939083517003151,0.6617962270061413,0.9348187576179372,0.12180366790949666,5,5,1,934,1.4526035761384868,3.3711705258452493,0.9095439630208356,COMPLETE
44,0.8212000325639515,2025-07-16 15:43:43.883004,2025-07-16 15:43:52.697943,0 days 00:00:08.814939,0.7023901999269647,0.6062540846005937,0.4187881156925981,0.18197341459320338,4,6,2,687,1.972776352526376,2.5688180756374925,0.8580256233935849,COMPLETE
45,0.8229436961784501,2025-07-16 15:43:52.720774,2025-07-16 15:44:03.664799,0 days 00:00:10.944025,0.5951111813496994,0.6790434947981586,0.7217213864973803,0.09351210576079091,2,4,1,1163,1.1537644916461132,1.7128701806435709,0.8101119540410983,COMPLETE
